model, repeats, significance_epsilon, problem, problem size, best_value, best_time, best_iteration, best_ffe
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 100, 0.883621215820313, 0.0069828, 7, 714, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 200, 0.84857177734375, 0.1350047, 36, 7272, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 5, 5, 0, 5, 35, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 10, 10, 0, 3, 36, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 20, 20, 0, 2, 44, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 30, 30, 0.0010003, 2, 64, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 40, 40, 0, 2, 84, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryOneMaxEvaluation, 50, 50, 0, 1, 52, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 11, 77, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 4, 48, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0019996, 61, 1342, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 27, 0.0049992, 49, 1568, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0030013, 20, 840, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.0160004, 68, 3536, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 13, 156, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 8, 0, 1, 22, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0049996, 63, 2016, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0090001, 60, 2520, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0020028, 7, 364, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0020025, 45, 1215, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 49, 0.951812744140625, 0.0039976, 17, 867, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 100, 0.917648315429688, 0.0259947, 29, 2958, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryIsingSpinGlassEvaluation, 484, 0.890777587890625, 1.611992, 83, 40338, 
BinaryGreedyRSOptimizer, 10, 0.1, CBinaryNKLandscapesEvaluation, 10, 1, 0, 2, 24, 
