model, repeats, problem, problem size, best_value, best_time, best_iteration, best_ffe
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 50, 50, 0.0009999, 4, 208, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0.0010035, 9, 63, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0029983, 320, 3840, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0299979, 734, 16148, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 28, 0.0340218, 391, 12512, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 37, 0.0400104, 275, 11550, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.018011, 86, 4472, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0030022, 179, 2148, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0020002, 49, 1078, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0, 3, 96, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0020004, 9, 378, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0010013, 2, 104, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0030179, 48, 1296, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 49, 0.975906372070313, 0.028968, 133, 6783, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 100, 0.976470947265625, 0.3010005, 340, 34680, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 484, 0.90533447265625, 5.5940001, 275, 133650, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 10, 1, 0.0010001, 51, 612, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 50, 0.932754516601563, 0.0740013, 273, 14196, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 100, 0.895355224609375, 0.3879973, 370, 37740, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 200, 0.858978271484375, 3.6989942, 899, 181598, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 5, 5, 0, 2, 14, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 10, 10, 0, 4, 48, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 20, 20, 0, 2, 44, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 32, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 40, 40, 0.0009995, 3, 126, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 50, 50, 0, 3, 156, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 2, 14, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0009969, 86, 1032, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0089999, 207, 4554, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 27, 0.0249886, 273, 8736, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0299899, 205, 8610, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 44, 0.0100011, 44, 2288, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.003, 197, 2364, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0029986, 83, 1826, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0010097, 13, 416, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.007021, 55, 2310, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0089719, 42, 2184, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0109953, 162, 4374, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 49, 0.975906372070313, 0.0020005, 11, 561, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 100, 0.95294189453125, 0.430038, 498, 50796, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 484, 0.900482177734375, 0.8419997, 43, 20898, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 10, 1, 0.0029988, 170, 2040, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 50, 0.926315307617188, 0.1720031, 639, 33228, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 100, 0.89862060546875, 0.4330029, 423, 43146, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 200, 0.865036010742188, 0.3019907, 79, 15958, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 5, 5, 0, 2, 14, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 10, 10, 0, 6, 72, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 20, 20, 0, 2, 44, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 32, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 40, 40, 0, 4, 168, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 50, 50, 0.001, 3, 156, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 7, 49, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0009996, 70, 840, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0, 4, 88, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 27, 0.0189941, 230, 7360, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0199951, 137, 5754, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.0119907, 56, 2912, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0120025, 950, 11400, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0049917, 119, 2618, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0039978, 49, 1568, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0199976, 144, 6048, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 22, 0.0310059, 133, 6916, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.009034, 132, 3564, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 49, 0.975906372070313, 0.0479621, 208, 10608, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 100, 0.964706420898438, 0.6129997, 719, 73338, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 484, 0.90533447265625, 18.0189834, 924, 449064, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 10, 1, 0.0029916, 134, 1608, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 50, 0.910659790039063, 0.2199977, 841, 43732, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 100, 0.909317016601563, 0.5200047, 535, 54570, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 200, 0.8563232421875, 3.5990003, 942, 190284, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 7, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 10, 10, 0.0009959, 2, 24, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 20, 20, 0, 1, 22, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 32, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 40, 40, 0, 1, 42, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 50, 50, 0, 2, 104, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 2, 14, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0010078, 35, 420, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0229905, 591, 13002, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 27, 0.0010088, 12, 384, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0009982, 9, 378, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.0019935, 7, 364, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.003999, 257, 3084, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0120006, 311, 6842, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0210083, 248, 7936, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0040062, 28, 1176, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 22, 0.0770046, 352, 18304, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0220019, 339, 9153, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 49, 1, 0.2079978, 966, 49266, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 100, 0.964706420898438, 0.5089997, 597, 60894, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 484, 0.902908325195313, 0.7760071, 40, 19440, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 10, 1, 0.0010007, 24, 288, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 50, 0.936737060546875, 0.2360006, 933, 48516, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 100, 0.894577026367188, 0.3039491, 315, 32130, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 200, 0.864120483398438, 2.6569987, 700, 141400, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 7, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 10, 10, 0, 1, 12, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 20, 20, 0, 1, 22, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 30, 30, 0, 2, 64, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 40, 40, 0, 1, 42, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 50, 50, 0.0010003, 2, 104, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 15, 105, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0, 19, 228, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0010002, 29, 638, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 27, 0.0720015, 841, 26912, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0069864, 48, 2016, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 44, 0.0040001, 18, 936, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0040006, 281, 3372, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0120001, 311, 6842, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 14, 0.0860002, 978, 31296, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0099947, 63, 2646, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 22, 0.0559992, 266, 13832, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0080001, 129, 3483, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 49, 0.975906372070313, 0.0869932, 405, 20655, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 100, 0.95294189453125, 0.2599801, 306, 31212, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 484, 0.90533447265625, 2.2420013, 115, 55890, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 10, 1, 0.0009908, 96, 1152, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 50, 0.924072265625, 0.0930008, 369, 19188, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 100, 0.901885986328125, 0.6649902, 686, 69972, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 200, 0.858596801757813, 1.2439943, 328, 66256, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 7, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 10, 10, 0, 4, 48, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 20, 20, 0, 3, 66, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 30, 30, 0, 2, 64, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 40, 40, 0.0009997, 2, 84, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 50, 50, 0, 1, 52, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 4, 28, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.006996, 596, 7152, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0079941, 187, 4114, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 27, 0.0499954, 598, 19136, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0109836, 75, 3150, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.0030001, 15, 780, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0050009, 396, 4752, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0029994, 75, 1650, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0050001, 50, 1600, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0009632, 3, 126, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0060036, 30, 1560, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0009998, 19, 513, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 49, 1, 0.212988, 966, 49266, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 100, 0.95294189453125, 0.0230136, 27, 2754, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 484, 0.902908325195313, 1.5989878, 83, 40338, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 10, 1, 0, 14, 168, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 50, 0.938323974609375, 0.0390034, 156, 8112, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 100, 0.902511596679688, 0.0230343, 24, 2448, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 200, 0.868301391601563, 3.6639895, 967, 195334, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 5, 5, 0, 3, 21, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 10, 10, 0, 1, 12, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 20, 20, 0, 4, 88, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 32, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 40, 40, 0.0010008, 5, 210, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 50, 50, 0, 1, 52, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 10, 70, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0019998, 160, 1920, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0020007, 38, 836, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 28, 0.0269984, 300, 9600, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0280029, 199, 8358, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 45, 0.1890015, 865, 44980, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 5, 60, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0150095, 395, 8690, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.004001, 54, 1728, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0.0950198, 671, 28182, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0079993, 37, 1924, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0059908, 100, 2700, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 49, 1, 0.1540094, 710, 36210, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 100, 0.964706420898438, 0.5159998, 605, 61710, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 484, 0.907760620117188, 5.9209906, 308, 149688, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 10, 1, 0.0010012, 53, 636, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 50, 0.935791015625, 0.0879959, 354, 18408, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 100, 0.888351440429688, 0.2510051, 260, 26520, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 200, 0.855743408203125, 2.9390203, 770, 155540, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 5, 5, 0, 1, 7, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 10, 10, 0, 1, 12, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 20, 20, 0, 1, 22, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 30, 30, 0, 1, 32, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 40, 40, 0, 2, 84, 
BinaryGreedyRSOptimizer, 1, CBinaryOneMaxEvaluation, 50, 50, 0.0010053, 3, 156, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 2, 14, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0109982, 835, 10020, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0010034, 20, 440, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 27, 0.0070107, 87, 2784, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0130017, 87, 3654, 
BinaryGreedyRSOptimizer, 1, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 43, 0.0110121, 52, 2704, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0070054, 582, 6984, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.004999, 124, 2728, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0100252, 131, 4192, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0030041, 19, 798, 
BinaryGreedyRSOptimizer, 1, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0030007, 15, 780, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 25, 1, 0.0040002, 71, 1917, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 49, 0.975906372070313, 0.0190111, 86, 4386, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 100, 0.964706420898438, 0.1999729, 234, 23868, 
BinaryGreedyRSOptimizer, 1, CBinaryIsingSpinGlassEvaluation, 484, 0.902908325195313, 4.092994, 212, 103032, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 10, 1, 0.0009886, 65, 780, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 50, 0.916702270507813, 0.1589957, 624, 32448, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 100, 0.891830444335938, 0.6410001, 663, 67626, 
BinaryGreedyRSOptimizer, 1, CBinaryNKLandscapesEvaluation, 200, 0.8656005859375, 1.2729992, 335, 67670, 
