model, mutation_adaptation, temp_drop_coef, start_temp, problem, problem size, best_value, best_time, best_iteration, best_ffe
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealStep2SphereEvaluation, 25, -888, 0, 66, 67, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealStep2SphereEvaluation, 50, -3460, 0, 96, 97, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealStep2SphereEvaluation, 75, -6300, 0.001, 77, 78, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealRastriginEvaluation, 2, -7.95966238110817, 0, 494, 495, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealRastriginEvaluation, 5, -9.94972596647746, 0.0010019, 642, 643, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealRastriginEvaluation, 10, -50.8535258927099, 0.0009984, 715, 716, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealRastriginEvaluation, 25, -280.025855779495, 0.0019999, 743, 744, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealRastriginEvaluation, 50, -464.425146053127, 0.0030041, 733, 734, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealRastriginEvaluation, 75, -839.453098526954, 0.0049998, 726, 727, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealAckleyEvaluation, 2, -4.44089209850063E-16, 0.0010003, 700, 701, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealAckleyEvaluation, 5, -1.64644308742825, 0, 624, 625, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealAckleyEvaluation, 10, -2.8726400517521, 0.0009999, 683, 684, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealAckleyEvaluation, 25, -6.01997792525597, 0.0019998, 672, 673, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealAckleyEvaluation, 50, -7.47478713329392, 0.002, 680, 681, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealAckleyEvaluation, 75, -8.76529537660928, 0.0040002, 682, 683, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealSphereEvaluation, 2, -1.72567802594968E-43, 0.0010052, 993, 994, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealSphereEvaluation, 5, -0.000136782982249761, 0.0010002, 863, 864, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealSphereEvaluation, 10, -12.2626169175695, 0.0010145, 732, 733, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealSphereEvaluation, 25, -441.104506385921, 0.0025088, 723, 724, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealSphereEvaluation, 50, -2923.38084083929, 0.0030222, 684, 685, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealSphereEvaluation, 75, -4639.02324374395, 0.0045253, 691, 692, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealSphere10Evaluation, 2, -1.72567802594968E-42, 0, 993, 994, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealSphere10Evaluation, 5, -0.00136782982249761, 0, 863, 864, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealSphere10Evaluation, 10, -122.626169175695, 0.0005312, 732, 733, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealSphere10Evaluation, 25, -4411.04506385921, 0.0020299, 718, 719, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealSphere10Evaluation, 50, -29233.8084083929, 0.0029869, 684, 685, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealSphere10Evaluation, 75, -46390.2324374395, 0.0040871, 691, 692, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealEllipsoidEvaluation, 2, -1.36810889309782, 0, 738, 739, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealEllipsoidEvaluation, 5, -76.6965530601391, 0.0010182, 710, 711, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealEllipsoidEvaluation, 10, -34.7088605083195, 0, 732, 733, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealEllipsoidEvaluation, 25, -654.772103734013, 0.0019932, 799, 800, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealEllipsoidEvaluation, 50, -2857.59014045736, 0.0030065, 715, 716, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealEllipsoidEvaluation, 75, -5457.63048749349, 0.0049998, 681, 682, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealStep2SphereEvaluation, 2, -1.18077567036261E-43, 0, 984, 985, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealStep2SphereEvaluation, 5, -12, 0, 56, 57, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealStep2SphereEvaluation, 10, -124, 0, 73, 74, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealStep2SphereEvaluation, 25, -624, 0, 51, 52, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealStep2SphereEvaluation, 50, -3912, 0, 91, 92, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealStep2SphereEvaluation, 75, -5076, 0.0009813, 104, 105, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealRastriginEvaluation, 2, 0, 0, 416, 417, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealRastriginEvaluation, 5, -18.904173916718, 0, 711, 712, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealRastriginEvaluation, 10, -71.0232268250011, 0, 731, 732, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealRastriginEvaluation, 25, -173.464556280497, 0.0009976, 727, 728, 
RealEvolutionStrategy11, RealDomainKnowledgeSimAnnAdaptationMutation, 0.05, 1000, CRealRastriginEvaluation, 50, -491.440720472821, 0.003001, 758, 759, 
