model, mutation_adaptation, igniting_coef, temp_drop_coef, start_temp, problem, problem size, best_value, best_time, best_iteration, best_ffe
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealAckleyEvaluation, 50, -7.29308009983831, 0.0070022, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealAckleyEvaluation, 75, -7.97175558331148, 0.0089959, 997, 998, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphereEvaluation, 2, -8.6602437170358E-36, 0, 992, 993, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphereEvaluation, 5, -9.83234347730365E-28, 0.0009996, 994, 995, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphereEvaluation, 10, -4.14915346131528E-14, 0.0010015, 998, 999, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphereEvaluation, 25, -8.63131306351176, 0.002005, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphereEvaluation, 50, -736.248328778735, 0.0050518, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphereEvaluation, 75, -847.692288053991, 0.0079814, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphere10Evaluation, 2, -8.6602437170358E-35, 0, 992, 993, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphere10Evaluation, 5, -9.83234347730365E-27, 0, 994, 995, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphere10Evaluation, 10, -4.14915346131528E-13, 0.0013882, 998, 999, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphere10Evaluation, 25, -86.3131306351176, 0.0034219, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphere10Evaluation, 50, -7362.48328778735, 0.005018, 1000, 1001, 
RealEvolutionStrategy11, RealIgnitingSimAnnMutationAdaptation, 1.1, 0.05, 1000, CRealSphere10Evaluation, 75, -8476.92288053991, 0.0065258, 1000, 1001, 
